Time_s,u,v,w,q_rad_s,p_dot,r_dot,beta_rad,p_rad_s,r_rad_s,rud_deg,ail_deg,aill_deg,ailr_deg,CY,Cl,Cn
0,0.0282620880752802,-1.63650190830231,-43.7969665527344,-0.00784752145409584,-2.69393490270886e-06,0.00154979538638145,-0.0150293381884694,0.00646117050200701,-0.000182938631041907,0.227942854166031,0.160465970635414,-0.159240439534187,0.161691501736641,0.0151671376079321,-9.58447435550625e-06,0.000161107353051193
0.025,0.0216794107109308,-1.63639223575592,-43.7984161376953,-0.00647347187623382,0.000510322628542781,0.00205066055059433,-0.04596983268857,0.00491084065288305,0.00495099416002631,0.181777849793434,0.123625874519348,-0.118060767650604,0.129190981388092,0.0121504813432693,1.22633637147374e-05,0.000217265798710287
0.05,0.0502776019275188,-1.63744425773621,-43.7961502075195,-0.00729337753728032,-0.029716532677412,-0.00245085963979363,-0.0322531275451183,0.00472768768668175,0.000260929955402389,0.179303005337715,0.0690517798066139,-0.00348861562088132,0.134614944458008,0.00907876901328564,-0.00152195291593671,-7.07659200998023e-05
0.075,0.0227840486913919,-1.63539445400238,-43.800422668457,-0.00792759004980326,-0.0298987161368132,-0.00237009860575199,-0.0417209230363369,0.0048367939889431,0.00284537184052169,0.168388187885284,0.0986417308449745,-0.170484825968742,0.026798639446497,0.0169835053384304,-0.00160937930922955,-6.41870137769729e-05
0.1,-0.00223549152724445,-1.6376975774765,-43.7963752746582,-0.00796129461377859,-0.0187268294394016,-0.00229411036707461,-0.0309766381978989,0.00525557575747371,0.000304516754113138,0.2359599173069,0.110001020133495,-0.19183649122715,0.028165552765131,0.00757991289719939,-0.00095206149853766,-0.000125288061099127
0.125,0.012831631116569,-1.63611459732056,-43.7995948791504,-0.00875358935445547,-0.0190007351338863,-0.00211364473216236,-0.0386939644813538,0.00528177572414279,0.00277283485047519,0.284986615180969,0.105203837156296,-0.130487084388733,0.079920582473278,0.0165369100868702,-0.000989393098279834,-0.000106702274933923
0.15,0.038500688970089,-1.63840341567993,-43.7957077026367,-0.00756492372602224,-0.0188764724880457,-0.00234144134446979,-0.0400746166706085,0.0047321398742497,0.00297749019227922,0.0915418267250061,0.136668771505356,-0.212401494383812,0.0609360449016094,0.00650439038872719,-0.000982193043455482,-0.000132352841319516
0.175,0.018527852371335,-1.63718557357788,-43.7992134094238,-0.0102928802371025,-0.0188549607992172,-0.00223334319889545,-0.0366129167377949,0.00502970302477479,0.00273690233007073,0.136425688862801,0.179748132824898,-0.0597088001668453,0.29978746175766,0.0145028410479426,-0.000942301237955689,-0.000116158436867408
0.2,0.0176665596663952,-1.63571429252625,-43.7989234924316,-0.00893349666148424,-0.0190764907747507,-0.0024401880800724,-0.0286078993231058,0.00502153672277927,0.00210407795384526,0.177370920777321,0.043126568198204,-0.155169680714607,-0.0689165443181992,0.0156483724713326,-0.000991166452877223,-0.000141920347232372
0.225,0.0337114185094833,-1.63586592674255,-43.7980155944824,-0.00827896781265736,-0.0185570921748877,-0.0021369659807533,-0.0144037632271647,0.00384177709929645,0.00168361735995859,0.146605685353279,0.12968710064888,-0.0750230029225349,0.184351205825806,0.00879370979964733,-0.000932555878534913,-0.000107989340904169
0.25,0.0250151958316565,-1.63551568984985,-43.7977409362793,-0.00874406471848488,-0.0187443159520626,-0.00207441695965827,-0.0341755375266075,0.00296534644439816,0.00398661755025387,0.246770024299622,0.059914268553257,-0.117765694856644,0.0020628422498703,0.00807078275829554,-0.000975535018369555,-0.000103611251688562
